Source IP, Dest IP, Source Port, Dest Port,source mac, dest mac, Duration, Total Bytes,Total Pkts, FlowsCount, TCPCount, UDPCount,AvgBytes, AvgPkts, AvgTCPpkts, AvgUDPpkts,FIN,SYN,RESET,PSH,ACK,URG,ECN,CWR,NS,RES
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.021473,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.003729,11842,3,6,3,0,3947.3333333333335,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.003728,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.000627,19120,3,6,3,0,6373.333333333333,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|0|1,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.000625,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.000000,8068,3,6,3,0,2689.3333333333335,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|1|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.000014,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.000001,10959,3,6,3,0,3653.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|1|1,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.000040,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.000384,15964,3,6,3,0,5321.333333333333,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.000388,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.021928,21065,3,6,3,0,7021.666666666667,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|1|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.021863,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.001806,7532,3,6,3,0,2510.6666666666665,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|1|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.001810,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.001836,19190,3,6,3,0,6396.666666666667,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|1|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.001865,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.000081,20007,3,6,3,0,6669.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|1|1,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.000075,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.003669,25228,3,6,3,0,8409.333333333334,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|1|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.003715,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.005058,18424,3,6,3,0,6141.333333333333,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|0|1,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.005101,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.036892,16642,3,6,3,0,5547.333333333333,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|1|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.036782,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.000558,26788,3,6,3,0,8929.333333333334,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.000560,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.000572,21343,3,6,3,0,7114.333333333333,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|0|1,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.000531,162,3,6,3,0,54.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.002282,20602,3,6,3,0,6867.333333333333,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.002146,174,3,6,3,0,58.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.041195,11842,3,6,3,0,3947.3333333333335,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|1,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.041179,214,3,6,3,0,71.33333333333333,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.002456,27902,3,6,3,0,9300.666666666666,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|1,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.002444,186,3,6,3,0,62.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.010093,13079,3,6,3,0,4359.666666666667,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|0|1,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.010109,198,3,6,3,0,66.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.006811,10382,3,6,3,0,3460.6666666666665,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|1|1,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.006847,198,3,6,3,0,66.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.001501,19529,3,6,3,0,6509.666666666667,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,1|1|1,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.001486,186,3,6,3,0,62.0,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|0|0,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,8.8.4.4,56089,53,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.0,77,1,6,0,1,77.0,0.16666666666666666,0.0,1.0,0,0,0,0,0,0,0,0,0,0
8.8.4.4,10.87.2.252,53,56089,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.0,265,1,6,0,1,265.0,0.16666666666666666,0.0,1.0,0,0,0,0,0,0,0,0,0,0
10.87.2.252,142.250.183.35,38821,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.009976,1407,2,6,0,2,703.5,0.3333333333333333,0.0,1.0,0,0,0,0,0,0,0,0,0,0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.0,190,1,6,1,0,190.0,0.16666666666666666,1.0,0.0,0,0,0,1,1,0,0,0,0,0
142.250.183.35,10.87.2.252,443,38821,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.0,1292,1,6,0,1,1292.0,0.16666666666666666,0.0,1.0,0,0,0,0,0,0,0,0,0,0
172.67.4.214,10.87.2.252,443,46128,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.000918,2315,3,6,3,0,771.6666666666666,0.5,1.0,0.0,0|0|0,0|0|0,0|0|0,0|1|1,1|1|1,0|0|0,0|0|0,0|0|0,0|0|0,0|0|0
10.87.2.252,172.67.4.214,46128,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.000370,108,2,6,2,0,54.0,0.3333333333333333,1.0,0.0,0|0,0|0,0|0,0|0,1|1,0|0,0|0,0|0,0|0,0|0
142.250.183.35,10.87.2.252,443,38821,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.0,1292,1,6,0,1,1292.0,0.16666666666666666,0.0,1.0,0,0,0,0,0,0,0,0,0,0
